datetime,text,cleanTweet
2023-01-03 13:59:25,"b'\xf0\x9d\x97\xa7\xf0\x9d\x97\xb5\xf0\x9d\x97\xb6\xf0\x9d\x98\x80 \xf0\x9d\x97\xb6\xf0\x9d\x98\x80 \xf0\x9d\x97\xae \xf0\x9d\x97\xbf\xf0\x9d\x97\xb2\xf0\x9d\x97\xae\xf0\x9d\x97\xb8 \xf0\x9d\x97\xbb\xf0\x9d\x97\xae\xf0\x9d\x98\x81\xf0\x9d\x98\x82\xf0\x9d\x97\xbf\xf0\x9d\x97\xae\xf0\x9d\x97\xb9 \xf0\x9d\x98\x80\xf0\x9d\x97\xb0\xf0\x9d\x97\xb2\xf0\x9d\x97\xbb\xf0\x9d\x97\xb2\n\n""Bertualanglah sejauh mata memandang,mengayuhlah sejauh lautan terbentang.Bergurulah sejauh alam berkembang."" https://t.co/xLPWaxrMnh'",jauh mata jauh laut jauh alam kembang
2023-01-03 13:59:13,"b'@andihiyat ada, tp yg 1 udh beda alam, yg 1 beda negara :)'",tp udh beda alam beda negara
2023-01-03 13:58:53,"b'@aulmaulidiana Pernahh sadar diri sih aku anak nomaden jadi ga selalu bisa keep in touch sm teman yg jauh, poeple come and go udah hukum alam'",pernahh sadar diri sih aku anak nomaden jadi ga selalu keep in touch sm teman jauh poeple come and go udah hukum alam
2023-01-03 13:58:26,"b""dan Wallahu 'alam sekarang ortu Alhamdulillah anaknya 2 lulusan S1, nikahan kakak jg yg Alhamdulillah sedikit lebih mewah, bisa bangun lantai 2 buat kamar lagi, bisa beli mobil keluarga, dan lebih Alhamdulillah lagi ga punya hutang ke bank dsb""",wallahu alam sekarang ortu alhamdulillah anak lulus s1 nikah kakak jg alhamdulillah sedikit lebih mewah bangun lantai buat kamar beli mobil keluarga lebih alhamdulillah ga punya hutang bank
2023-01-03 13:58:05,"b'@idhieenmauLana @hiburanreceh Kalo diterjemahin sekilas, kaya lagu tentang arwah gentayangan. Saat didengerin kebayang udah di alam lain wkwk'",kalo diterjemahin kilas kaya lagu arwah gentayang didengerin bayang udah alam wkwk
2023-01-03 13:58:05,b'@penikmat_hujann Di alam barzah',alam barzah
2023-01-03 13:56:24,"b'@InfosuporterID Singapore butuh noh alam shah, indra sahdan daud, m.ridwan, dan shi jiayi'",singapore butuh noh alam shah indra sahdan daud shi jiayi
2023-01-03 13:56:23,"b'-dips! keluargaku mau holidey ke semarang 2 hari. Enaknya diajak kemana aja yaa?? boleh wisata alam, budaya, taman bermain atau apa aja (ada anak 3 tahun)'",keluarga mau holidey semarang hari enak ajak aja yaa wisata alam budaya taman main apa aja anak
2023-01-03 13:56:23,"b'BIARLAH SINARMU TETAP, MENYINARI ALAM INII.'",biar sinar tetap sari alam ini
2023-01-03 13:56:19,"b'@azdn_twider Ikan belacak difatwakan halal, padahal haiwan amphibious (dua alam). Point dia ialah, halal ni benda yang sejujurnya melecehkan.'",ikan belacak fatwa halal padahal haiwan amphibious point ialah halal ni benda jujur leceh
2023-01-03 13:56:14,b'@literarybase Pingin panggilan alam liar tapi berat di ongkos',pingin panggil alam liar berat ongkos
2023-01-03 13:55:29,b'!! atas permintaan cust event melintasi alam liar akan dipause pengerjaannya sampai semua stage terbuka !!',atas minta cust event lintas alam liar pause kerja semua stage buka
2023-01-03 13:55:10,"b'@flutterrogers wkwk makane kemaren anniv ke venue jaraknya 30menitan, malah lebih dekat ke wisata"" alam rumahku'",wkwk makane kemaren anniv venue jarak malah lebih dekat wisata alam rumah
