datetime,text,cleanTweet
2023-02-27 10:38:51,b'\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3 lae munjir situmorang ini sambil marlawak cari hepeng! https://t.co/IRSqzcjwER',lae munjir situmorang marlawak cari
2023-02-27 10:28:16,"b'@zulkifl48777634 @abu_waras loh, Pancasila jadi Trisila,,terus jadi Ekasila,,, kan itu yg diperjuangkannya Bong'",loh pancasila jadi jadi ekasila juang bong
2023-02-27 10:26:02,b'Tadi aku abis dari monumen pancasila sakti dong \xf0\x9f\xa5\xb2\xf0\x9f\x91\x8d https://t.co/m6gh3jJSZ4',tadi aku abis monumen pancasila sakti dong
2023-02-27 10:19:36,b'gak layak hidup di negri Pancasila yg menjadikan Ketuhanan YME sbg sila pertama. https://t.co/uFLw8Ux6gA',layak hidup negri pancasila jadi tuhan yme sbg sila pertama
2023-02-27 10:19:15,b'makanan yg wajib i beli kalo lg di univ Pancasila https://t.co/JPi1W4wiHH',makan wajib i beli kalo lg univ pancasila
2023-02-27 10:18:40,"b'@Fajri18411217 @abu_waras Apa dalilnya Pancasila mau diubah PDIP, drun?'",apa dalil pancasila mau ubah pdip drun
2023-02-27 10:17:09,"b'@MarahIchsan Utk bangsa Indonesia taruhannya pilpres 2024 kl ingin bangsa ini tdk diobok""kelompok radikal, pilpres 2024 slrh rkyt indo siap berperang kelompok radikal yg ingin mengeruk kekayaan alam bangsa ini &amp; ingin ganti ideologi Pancasila jd ideologi khilafah.\n#ganyangkelompokradikal'",utk bangsa indonesia taruh pilpres kl bangsa radikal pilpres slrh rkyt indo siap perang kelompok radikal keruk kaya alam bangsa ganti ideologi pancasila jd ideologi
2023-02-27 10:15:21,"b'Masih TK tapi sudah berprestasi, inspiring ya Moms ygy \xf0\x9f\xa4\xa9\n\nAyo ngacung yang hafal pancasila \xf0\x9f\xab\xa1\xf0\x9f\xa5\xb0\n\nIkuti akun ini untuk info-info menarik lainnya\n\nBERSAMA KITA JADI LEBIH BAIK https://t.co/Ttw4PRog3A'",tk prestasi inspiring moms ygy ngacung hafal pancasila akun tarik jadi lebih baik
2023-02-27 10:11:12,"b'\xe2\x80\x9cPancasila merupakan pandangan hidup dan konsensus bersama bangsa Indonesia, sebuah bangsa yang memiliki keunikan, baik dari aspek geografisnya, keberagaman suku, agama dan budayanya, maupun sejarah perjalanannya.\xe2\x80\x9d #AHY #PDemokrat'",rupa pandang hidup konsensus sama bangsa indonesia buah bangsa milik uni baik aspek geografis agam suku agama budaya maupun sejarah
2023-02-27 10:07:23,"b'@khaliltahsina @ganjarpranowo Memperdrbatkan hal seperti ini, dimana sebenarnya trisila adalah makna hakikat dari pancasila itu sendiri...., debatkan yang begini tidakkah sama ubahnya dengan anak TK???'",memperdrbatkan benar trisila makna hakikat pancasila sendiri debat begini tidak sama ubah anak tk
2023-02-27 10:04:54,"b'@DokterTifa @UyokBack Dijaman pa Itu Demokrasi berhasil diungkap realitanya, nyatanya Demokrasi:\nDemokrasi itu agama musuhbesarnya Pancasila;\nDemokrasi itu cucu utusan Tuhan yang maha Esa diuber Uber dipenjarakn bahkan hampir terbunuh; Demokrasi itu yg berkhidmat pada Tuhan yg maha Esa dicap teroris'",jam pa demokrasi hasil ungkap realitanya nyata agama musuhbesarnya cucu utus tuhan maha esa uber uber dipenjarakn bahkan hampir demokrasi khidmat tuhan maha esa cap teroris
2023-02-27 10:00:53,"b'Power Breakfast , Wakil Kepala Badan Pembinaan Ideologi Pancasila (BPIP) Dr. Drs. Karjono, S,H, M.H. \nhttps://t.co/8j2ZwW7yRt'",power breakfast wakil kepala badan bina ideologi pancasila drs karjono
2023-02-27 10:00:24,"b'Diberitakan sebelumnya, pada peringatan Hari Kesaktian Pancasila 2022 di Monumen Pancasila Sakti, \n#PrabowoSubianto #PrabowoPemersatu #BangkitBersama'",berita belum ingat hari sakti pancasila monumen pancasila sakti
2023-02-27 10:00:23,"b'Pancasila kita yakini sebagai pemersatu bangsa, ideologi dan falsafah bangsa \n#PrabowoSubianto #PrabowoPemersatu #BangkitBersama'",pancasila yakin satu bangsa ideologi falsafah bangsa
2023-02-27 10:00:22,"b'Maka dari itu, Prabowo meminta semua pihak untuk menjaga Pancasila. Karena Pancasila menjadi pemersatu bangsa.\n#PrabowoSubianto #PrabowoPemersatu #BangkitBersama'",prabowo minta semua pihak jaga pancasila pancasila jadi satu
2023-02-27 10:00:21,b'untuk selalu yakin bahwa Pancasila inilah yang mempersatukan bangsa Indonesia dan yang bisa menyelamatkan bangsa Indonesia. \n#PrabowoSubianto #PrabowoPemersatu #BangkitBersamaKita',selalu yakin pancasila ini satu bangsa indonesia selamat bangsa indonesia
2023-02-27 10:00:19,"b'di Monumen Pancasila Sakti, Lubang Buaya, Jakarta Timur, Sabtu (1/10/2022).\n#PrabowoSubianto #PrabowoPemersatu #BangkitBersama'",monumen pancasila sakti lubang buaya jakarta timur sabtu
2023-02-27 10:00:18,b'Hal tersebut disampaikan Prabowo Subianto dalam peringatan Hari Kesaktian Pancasila 2022 \n#PrabowoSubianto #PrabowoPemersatu #BangkitBersama',sebut sampai prabowo subianto ingat hari sakti pancasila
2023-02-27 10:00:17,b'selalu yakin bahwa Pancasila yang mempersatukan dan menyelamatkan bangsa Indonesia.\n#PrabowoSubianto #PrabowoPemersatu #BangkitBersama',selalu yakin pancasila satu selamat bangsa
2023-02-27 10:00:16,b'Prabowo: Kita Harus Selalu Yakin Pancasila yang Mempersatukan Bangsa Indonesia\n#PrabowoSubianto #PrabowoPemersatu #BangkitBersama https://t.co/WrmqNplerI',selalu yakin pancasila satu bangsa
2023-02-27 09:58:51,b'@jaehyunayy pemuda Pancasila\xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad',pemuda
2023-02-27 09:58:02,"b'@iriantomo @ganjarpranowo Trisila artinya tiga pokok tiga inti dari pancasila itu sendiri.... \nSebenarnya hal seperti ini tidak butuh didebatkan, hanyalah TK yang debatkaannya'",trisila arti tiga pokok tiga inti pancasila sendiri butuh debat hanya tk debatkaannya
2023-02-27 09:53:50,b'RT @BKIPMPontianak: Seluruh peserta melakukan sikap berdiri sempurna selama apel berlangsung. Kegiatan diawali menyanyikan lagu kebangsaan\xe2\x80\xa6',seluruh serta laku sikap diri sempurna lama apel langsung giat awal nyanyi lagu
2023-02-27 09:53:20,"b'RT @DaBeZhu: @hardye76 Ganjar ""sangat"" Berbahaya buat gerombolan amien yg usung politik Identitas, mereka mau ubah NKRI &amp; Pancasila. Ganjar\xe2\x80\xa6'",ganjar sangat bahaya buat gerombol amien usung politik identitas mau ubah nkri pancasila
2023-02-27 09:51:32,"b""Apa itu pancasila, ngumpul aja udah gak bener akhirnya males ngenal kebineka'an. udah gitu hidupnya digoyangin bikin boros dompet \xf0\x9f\xa5\xb4""",pancasila ngumpul aja udah bener akhir males ngenal udah gitu hidup digoyangin bikin boros dompet
2023-02-27 09:50:08,"b'@zulfiarrahman @firman__nurhuda @littlevixen__ @agama_nusantara \xf0\x9f\x98\x82\nKlo urusan klaim sih kalian emang jagonya koq su..\xf0\x9f\x98\x82\xf0\x9f\x98\x82\nPadahal Pancasila dan bhineka tunggal ika itu punya orang hindu\xf0\x9f\x98\x82\n\nTrus klo ga pura"" setuju Emang kalian berani nolak terang""an kayak dlm rapat dewan kosntituante thn 55...?\xf0\x9f\x98\x82\n\nOtakmu emang sekecil tytudmu su....\xf0\x9f\x98\x82'",urus klaim sih kalian emang jago koq pancasila bhineka tunggal ika punya orang klo ga pura tuju emang kalian berani nolak kayak dlm rapat dewan kosntituante thn emang kecil tytudmu
2023-02-27 09:49:04,b'Program Studi Teknik Mesin membuka pendaftaran Kelas Reguler lulusan D3. Daftar dan bergabung dengan Fakultas Teknik Universitas Pancasila via online melalui website  https://t.co/pHW6YFIxzO   atau hubungi ke nomer 0812 9652 577 (Aruan).\n#FTUP #KreativitasTanpaBatas #TeknikMesin https://t.co/F7p3Xx1BSH',program studi teknik mesin buka daftar kelas reguler lulus d3 daftar gabung fakultas teknik universitas pancasila via online lalu website hubung nomer
2023-02-27 09:48:48,b'@cloudy_sunrise anjay pemuda pancasila',anjay pemuda pancasila
2023-02-27 09:47:16,"b'Kantor PDIP, PPP hingga Pemuda Pancasila di Bekasi Terendam Banjir https://t.co/HcQPxCoP4Y'",kantor pdip pp hingga pemuda pancasila bekas rendam banjir
2023-02-27 09:45:34,"b'RT @SMATN: Siswa 6 kelas X menyelenggarakan pameran proyek kolaborasi pembelajaran IPA (Fisika, Biologi, dan Kimia) tentang Pemanasan Globa\xe2\x80\xa6'",siswa kelas x selenggara pamer proyek kolaborasi ajar ipa biologi panas
2023-02-27 09:43:59,b'Open joki tugas mata kuliah umum seperti\n-Psikologi pendidikan\n-Filsafat\n-Pengantar pancasila\n-psikologi umum\n-Resensi buku\n\nPayment via\n\xf0\x9f\x92\xb0 spay/dana/BRI/gopay \n\nChat wa di bio untuk fast respon\n#zonauang #zonaba #zonajajan #zonaBU #zonacuan #jokitugaskuliah #joki #jokitugas.',open joki tugas mata kuliah umum wa bio fast
2023-02-27 09:43:54,"b'@taofan_pratama @Umar_Hasibuan__ Yang ditolak itu ideologi komunis, anti Tuhan. Baca lg tu Pancasila dan UUD 45. Jgn kyk Aidit, koar2 bela pancasila taunya komunis. Jgn memutarbalikkan fakta'",tolak ideologi komunis anti tuhan baca lg tu pancasila uud jgn kyk aidit koar2 bela pancasila tau komunis jgn memutarbalikkan fakta
2023-02-27 09:43:06,b'@ruhutsitompul demikian pula antek2 pki sudah brani menusuk kejantung pemerintah dengan merubah Pancasila dengan tri sila dan eka sila. dan kelompok islam yg dijadikan tumbal.',antek2 pki brani tusuk jantung perintah rubah pancasila tri sila eka sila kelompok islam jadi tumbal
2023-02-27 09:38:25,"b'@tanyakanrl sama itu, gak menjalankan demokrasi Pancasila dengan baik'",sama jalan demokrasi pancasila baik
2023-02-27 09:36:19,"b'@hardye76 Ganjar ""sangat"" Berbahaya buat gerombolan amien yg usung politik Identitas, mereka mau ubah NKRI &amp; Pancasila. Ganjar itu salah satu Tameng terkuat yg melawan hal2 itu... Maka mereka takut ganjar jadi Presiden RI. Kitaaaaaa... Hrs dukung NKRI &amp; Pancasila... Kita ikut dukung ganjar'",ganjar sangat bahaya buat gerombol amien usung politik identitas mau ubah nkri pancasila ganjar salah satu tameng kuat lawan hal2 takut ganjar jadi presiden ri kitaa hrs dukung nkri pancasila ikut dukung ganjar
2023-02-27 09:36:10,"b'RT @Deddy35504584: @AirinDatangLagi @ganjarpranowo @jokowi Pak GP itu musuh kaum yg ingin mengganti Pancasila.. jadi semakin jelas kan, sia\xe2\x80\xa6'",pak gp musuh kaum ganti pancasila jadi makin jelas
2023-02-27 09:28:17,b'Wahh siapakah gerangan dirinya? Tampan rupawan gagah berani seperti pemuda pancasila. Ahh- ternyata diriku. https://t.co/SXdNpmGhuH',wahh siapa gerangan diri tampan rupawan gagah berani pemuda pancasila nyata diri
2023-02-27 09:28:15,"b'@Hizir_Reis_ @escape_x01 @Umar_Hasibuan__ Ya sudahlah. \n\nTerakhir mau aku sampaikan, Ke-khilafahan terakhir (ISIS) runtuh karena perbuatan mereka sendiri. \n\nIdeologi ini hanya menimbulkan malapetaka. Masih sangsi dengan ideologi Pancasila?\n\nCintailah anak - anak dan wanitamu, mas e. \nhttps://t.co/aMBfrilvI8'",sudah mau aku sampai akhir runtuh buat sendiri timbul malapetaka sangsi ideologi anak anak wanita mas e
2023-02-27 09:27:22,"b'@satuhati_12 @ganjarpranowo Ya ya masukan anda ada benarnya juga...., sebenarnya penegakan pancasila ya penegakan agama kita masing masing dengan kedewasaan dengan akil baliq, kaffah'",masuk benar benar tega pancasila tega agama masing masing dewasa akil baliq kaffah
